customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,Segment
98.0,429,6,72590.09000000001,5,5,5,555,Champions
286.0,591,3,24892.46,2,2,2,222,Hibernating
249.0,447,5,60614.0,4,4,5,445,Champions
166.0,481,5,55248.25,3,4,5,345,Loyal Customers
30.0,538,1,4678.26,2,1,1,211,Hibernating
106.0,521,3,23866.760000000002,2,2,2,222,Hibernating
51.0,527,4,40665.16,2,3,4,234,At Risk
81.0,443,4,52662.05,4,3,5,435,Loyal Customers
133.0,429,6,48554.270000000004,5,5,4,554,Champions
138.0,524,2,26814.89,2,1,3,213,Hibernating
184.0,501,2,30427.520000000004,3,1,3,313,Hibernating
273.0,533,5,13990.060000000001,2,4,1,241,At Risk
69.0,477,4,52881.84,3,3,5,335,Loyal Customers
34.0,429,5,34253.909999999996,5,4,3,543,Champions
262.0,492,6,61598.72,3,5,5,355,Loyal Customers
53.0,586,2,24564.88,2,1,2,212,Hibernating
205.0,640,2,28672.33,1,1,3,113,Hibernating
126.0,570,2,5401.64,2,1,1,211,Hibernating
235.0,476,3,14981.78,3,2,2,322,Hibernating
43.0,476,1,13973.97,3,1,1,311,Hibernating
240.0,431,2,25098.059999999998,5,1,2,512,Hibernating
111.0,429,10,80836.81,5,5,5,555,Champions
151.0,441,2,19054.78,4,1,2,412,Hibernating
183.0,601,3,15382.7,1,2,2,122,Hibernating
95.0,515,5,58969.44,2,4,5,245,At Risk
8.0,516,5,33557.850000000006,2,4,3,243,At Risk
161.0,489,6,66703.0,3,5,5,355,Loyal Customers
281.0,440,3,31515.18,4,2,3,423,Hibernating
195.0,518,6,39149.17,2,5,4,254,At Risk
155.0,493,3,36071.36,3,2,4,324,Hibernating
93.0,469,4,24796.52,3,3,2,332,Loyal Customers
160.0,469,4,39520.369999999995,3,3,4,334,Loyal Customers
61.0,443,5,23872.03,4,4,2,442,Champions
122.0,429,4,49599.43,5,3,5,535,Loyal Customers
277.0,459,3,17672.93,4,2,2,422,Hibernating
5.0,549,10,53363.009999999995,2,5,5,255,At Risk
